Nom API,ID Datapass,ID API,Public Cible,Eligible,phrase,CTA,Texte du CTA,Notes
API Recherche des personnes physiques (R2P),api-sfip,157099898268225165331342193076025631109,collectivité ou administration,Peut-être,"<p>L'API R2P restituant des éléments sensibles (état civil, adresse, identifiant fiscal), elle est couverte par la règle du secret professionnel prévue par les dispositions de <a href=""https://www.legifrance.gouv.fr/affichCodeArticle.do?cidTexte=LEGITEXT000031366350&idArticle=LEGIARTI000031367308&dateTexte=&categorieLien=cid"">l'article L100-3 du Livre des Procédures Fiscales</a>, car ceux-ci constituent des données nominatives et personnelles.</p>

<p>Il ne peut être dérogé au secret professionnel que par une disposition législative spécifique. En conséquence, les informations restituées par l'API R2P ne peuvent être communiquées qu’aux personnes, organismes ou autorités bénéficiant d’une telle mesure et dans la limite fixée par la loi.</p>",,,
API Fichier des Comptes Bancaires et Assimilés (FICOBA),api-ficoba,23475902596992418526896588480801932670,particulier,Non,Vous n’êtes pas autorisé à accéder aux données de cette API.,,,
API Fichier des Comptes Bancaires et Assimilés (FICOBA),api-ficoba,23475902596992418526896588480801932670,entreprise ou association,Peut-être,"<p>❌ Si vous êtes une entreprise ou une association, vous n'êtes pas éligible.</b></p>

<p><b>✅ Si vous êtes un établissement bancaire, vous êtes peut-être éligible.</b> Dans le cadre de la vérification de l’éligibilité au <a href=""https://www.service-public.fr/particuliers/vosdroits/F2367"">LEP</a> et autres produits d'épargne réglementés, les banques peuvent être considérées comme une administration au sens de <a href=""https://www.legifrance.gouv.fr/affichCodeArticle.do?cidTexte=LEGITEXT000031366350&idArticle=LEGIARTI000031367308&dateTexte=&categorieLien=cid"">l'article L100-3 du code des relations entre le public et l'administration</a>.</p>

<p>Si vous entrez dans ce cadre, vous pouvez effectuer une demande d'habilitation à l’API FICOBA.</p>",,,
API Fichier des Comptes Bancaires et Assimilés (FICOBA),api-ficoba,23475902596992418526896588480801932670,collectivité ou administration,Peut-être,"<p>L'API FICOBA restituant des éléments sensibles (comptes bancaires du titulaire et/ou du co-titulaire, état civil et adresse) est couvert par la règle du secret professionnel prévue par les dispositions de <a href=""https://www.legifrance.gouv.fr/affichCodeArticle.do?cidTexte=LEGITEXT000031366350&idArticle=LEGIARTI000031367308&dateTexte=&categorieLien=cid"">l'article L100-3 du Livre des Procédures Fiscales</a>, car ceux-ci constituent des données nominatives et personnelles. Il ne peut être dérogé au secret professionnel que par une disposition législative spécifique.</p>

<p>En conséquence, les informations restituées par l'API FICOBA ne peuvent être communiquées qu’aux personnes, organismes ou autorités bénéficiant d’une telle mesure et dans la limite fixée par la loi.</p>

<p>Pour obtenir un agrément, vous devez justifier du cadre juridique dans lequel s’inscrit votre demande.</p>",,,
Annuaire de l’Education Nationale,,85416670935644108559803709858062546248,,Pas d'arbre de décision,,,,
API Recherche d’entreprises,,36195292833804750995985213668801313595,,Pas d'arbre de décision,,,,
API Impôt particulier,api-impot-particulier,170656124754822172053045158860748706755,particulier,Non,Vous n’êtes pas autorisé à accèder aux données de l’API Impôt particulier.,,,
API Impôt particulier,api-impot-particulier,170656124754822172053045158860748706755,entreprise ou association,Peut-être,"<p><b>❌ Si vous êtes une entreprise ou une association, vous n'êtes pas éligible.</b></p>

<p><b>✅ Si vous êtes un établissement bancaire, vous êtes peut-être éligible.</b> Dans le cadre de la vérification de l'éligibilité au LEP, et conformément aux dispositions de <a href=""https://www.legifrance.gouv.fr/codes/article_lc/LEGIARTI000042627574/2022-06-15"">l'article L166 AA du Livre de Procédures Fiscales</a>, l'administration fiscale indique aux établissements bancaires, à leur demande, si les personnes demandant l'ouverture d'un compte remplissent les conditions d'ouverture et de détention. Le décret N° 2021-277 du 12 mars 2021 précise les modalités d'application de ce dispositif légal.</p>

<p>Si vous êtes éditeur de logiciels et agissez pour le compte d'une administration ou d'une collectivité, vous pouvez remplir une demande d’habilitation à l’API particulier vous-même pour l'entité que vous représentez, dans le cadre de <a href=""https://www.legifrance.gouv.fr/affichCodeArticle.do?cidTexte=LEGITEXT000031366350&idArticle=LEGIARTI000031367412&dateTexte=&categorieLien=cid"">l'article L114-8 du code des relations entre le public et l'administration</a>.</p>",,,
API Impôt particulier,api-impot-particulier,170656124754822172053045158860748706755,collectivité ou administration,Peut-être,"<p>Conformément aux dispositions de <a href=""https://www.legifrance.gouv.fr/affichCodeArticle.do?cidTexte=LEGITEXT000031366350&idArticle=LEGIARTI000031367412&dateTexte=&categorieLien=cid"">l'article L114-8  du code des relations entre le public et l'administration</a>, seules les administrations sont habilitées à échanger entre elles des informations ou données strictement nécessaires pour traiter une démarche.</p>

<p>Pour obtenir l’accès à l’API, vous devez notamment justifier d'une simplification pour les citoyens et vous engager à n'accéder qu’aux données strictement nécessaires à la démarche conformément au principe de proportionnalité.</p>",,,
MonComptePro,pro-connect-service-provider,235014028999065690502698591088913195763,particulier,Non,Seules les administrations et les entreprises sont habilitées à utiliser ProConnect.,,,
MonComptePro,pro-connect-service-provider,235014028999065690502698591088913195763,entreprise ou association,Peut-être,"Les organisations privées peuvent intégrer le bouton ProConnect, à condition de l’utiliser exclusivement pour l’authentification de professionnels de la fonction publique. ProConnect restreindra l’accès à ces seuls utilisateurs : les professionnels du secteur privé ne pourront donc pas se connecter à une application privée via ProConnect.",,,
MonComptePro,pro-connect-service-provider,235014028999065690502698591088913195763,collectivité ou administration,Oui,"Toute administration peut intégrer le bouton ProConnect afin de permettre aux professionnels, qu’ils soient du secteur public ou privé, de s’identifier sur ses services en ligne.",,,
API FranceConnect,france-connect,106797906089843765897520349250930248334,particulier,Non,"Vous n’êtes pas autorisé à accéder aux données de cette API. Seules les administrations et les entreprises sont habilitées à utiliser l'API FranceConnect ou intégrer le bouton FranceConnect.

",,,
API FranceConnect,france-connect,106797906089843765897520349250930248334,entreprise ou association,Peut-être,"Si vous avez vérifié <a href=""https://franceconnect.gouv.fr/partenaires"">votre éligibilité</a>, vous pouvez demander à intégrer le bouton FranceConnect.",,,
API FranceConnect,france-connect,106797906089843765897520349250930248334,collectivité ou administration,Oui,Vous pouvez demander à intégrer le bouton FranceConnect.,,,
API Statut Etudiant - écriture,,305267304147013948035645424959720305843,particulier,Non,Vous n’êtes pas autorisé à accéder aux données de cette API.,,,
API Statut Etudiant - écriture,,305267304147013948035645424959720305843,entreprise ou association,Non,Vous n’êtes pas autorisé à accéder à cette API.,,,
API Statut Etudiant - écriture,,305267304147013948035645424959720305843,collectivité ou administration,Peut-être,"<p>**Si vous êtes une collectivité ou une administration, vous n'êtes pas éligible**. Vous n’êtes pas autorisé à accéder à cette API en écriture. ⚠️ Cette API est réservée aux établissements de l'enseignement supérieur. L'API pour simplifier les démarches des étudiants est [l'API Statut Etudiant](https://api.gouv.fr/les-api/api-statut-etudiant).</p>

<p>**Si vous êtes un établissement d'enseignement supérieur ou un lycée vous êtes éligible**.</p>",,,
API statut demandeur d'emploi,,22047716363505174327422024774209367255,particulier,Non,"En tant que particulier ou demandeur d'emploi, vous n’êtes pas autorisé à accéder aux données de cette API. L’usage de cette API est uniquement réservé aux acteurs publics. ",,,
API statut demandeur d'emploi,,22047716363505174327422024774209367255,collectivité ou administration,Oui,"<p>En tant qu'administration ou collectivité, vous êtes éligibles à cette API.</p>

<p>Si vous avez besoin d'autres données concernant les particuliers, vous pouvez demander un accès au bouquet [API Particulier](https://api.gouv.fr/les-api/api-particulier) opérée par la DINUM. Cette API délivre d'autres données telles que le quotient familial CAF/MSA, le statut scolarisé, étudiant, boursier, bénéficiaire du RSA, prime d'activité, etc.</p>

<p>Si vous avez seulement besoin du statut demandeur d'emploi, faîtes directement votre demande d'habilitation ici auprès de FranceTravail :</p>",,,
API statut demandeur d'emploi,,22047716363505174327422024774209367255,entreprise ou association,Peut-être,"Vous pouvez accéder à l’API uniquement si vous êtes [partenaire de France Connect](https://franceconnect.gouv.fr/partenaires), et pour un cas d’usage autorisé par la loi. Vous devrez fournir le cadre juridique qui vous autorise à utiliser ces données.",,,
API Service National,,117894659967146920543671876039627314650,particulier,Non,Vous n’êtes pas autorisé à accéder aux données de cette API.,,,
API Service National,,117894659967146920543671876039627314650,entreprise ou association,Non,Vous n’êtes pas autorisé à accéder aux données de cette API.,,,
API Service National,,117894659967146920543671876039627314650,collectivité ou administration,Peut-être,"<p>Conformément aux dispositions de l’[article L114-6  du code du service national](https://www.legifrance.gouv.fr/codes/article_lc/LEGIARTI000021960309/), les personnes de moins de 25 ans assujetties à l'obligation de participer à la journée défense et citoyenneté doivent être en règle pour être autorisées à s'inscrire aux examens et concours soumis au contrôle de l'autorité publique.</p>

<p>Par conséquent, dans le cadre de cette vérification, vous pouvez faire une demande d'habilitation Datapass si vous êtes : </p>
<p>- un service chargé de l'inscription à un examen ou un concours soumis au contrôle de l'autorité publique ;</p>
<p>- un service de ressources humaines ou de recrutement chargé, en application de dispositions statutaires, de vérifier la situation des personnes de moins de 25 ans au regard des obligations de service national.</p>",,,
API scolarité de l'élève,api-scolarite,72502282513630502988362202519763445190,particulier,Non,Vous n’êtes pas autorisé à accéder aux données de cette API. L’usage de cette API est uniquement reservé aux acteurs publics.,,,
API scolarité de l'élève,api-scolarite,72502282513630502988362202519763445190,entreprise ou association,Non,Vous n’êtes pas autorisé à accéder aux données de cette API. L’usage de cette API est uniquement reservé aux acteurs publics.,,,
API scolarité de l'élève,api-scolarite,72502282513630502988362202519763445190,collectivité ou administration,Oui,"<p>En tant qu'administration ou collectivité, vous êtes éligibles à cette API.</p>

<p>Si vous avez besoin d'autres données concernant les particuliers, vous pouvez demander un accès au bouquet <a href=""https://api.gouv.fr/les-api/api-particulier"">API Particulier</a> opérée par la DINUM. Cette API délivre d'autres données telles que le quotient familial CAF/MSA, le statut étudiant, boursier, bénéficiaire du RSA, prime d'activité, etc.</p>

<p>Si vous avez seulement besoin du statut scolarisé de l'élève, faîtes directement votre demande d'habilitation ici auprès du ministère de l'éducation nationale:</p>",,,
API Indemnisation France Travail,,285348187247858384253205706510275964109,particulier,Non,"En tant que particulier ou demandeur d'emploi, vous n’êtes pas autorisé à accéder aux données de cette API. L’usage de cette API est uniquement réservé aux acteurs publics. ",,,
API Indemnisation France Travail,,285348187247858384253205706510275964109,entreprise ou association,Peut-être,"Vous pouvez accéder à l’API uniquement si vous êtes [partenaire de France Connect](https://franceconnect.gouv.fr/partenaires), et pour un cas d’usage autorisé par la loi. Vous devrez fournir le cadre juridique qui vous autorise à utiliser ces données.",,,
API Indemnisation France Travail,,285348187247858384253205706510275964109,collectivité ou administration,Oui,"<p>En tant qu'administration ou collectivité, vous êtes éligibles à cette API.</p>

<p>Si vous avez besoin d'autres données concernant les particuliers, vous pouvez demander un accès au bouquet [API Particulier](https://api.gouv.fr/les-api/api-particulier) opérée par la DINUM. Cette API délivre d'autres données telles que le quotient familial CAF/MSA, le statut demandeur d'emploi, élève scolarisé, étudiant, boursier, bénéficiaire du RSA, prime d'activité, etc.</p>

<p>Si vous avez seulement besoin de la liste des paiements FranceTravail, faîtes directement votre demande d'habilitation ici auprès de FranceTravail :</p>",,,
AgentConnect,,236789167194051095121847342313092996607,particulier,Non,Vous n’êtes pas autorisé à accéder aux données de cette API. Seules les administrations centrales et les opérateurs de l'État sont habilités à utiliser l'API AgentConnect ou intégrer le bouton AgentConnect.,,,
AgentConnect,,236789167194051095121847342313092996607,entreprise ou association,Non,Vous n’êtes pas autorisé à accéder aux données de cette API. Seules les administrations centrales et les opérateurs de l'État sont habilités à utiliser l'API AgentConnect ou intégrer le bouton AgentConnect.,,,
AgentConnect,,236789167194051095121847342313092996607,collectivité ou administration,Peut-être,"<p>**❌ Si vous êtes une collectivité territoriale, vous n’êtes pas autorisé à accéder aux données de cette API**. Seules les administrations centrales et les opérateurs de l'État sont habilités à utiliser l'API AgentConnect ou intégrer le bouton AgentConnect.</p>

<p>**✅ Si vous êtes une administration centrale, un service déconcentré ou un opérateur de l'État, vous êtes éligibles.**</p>",,,
API Sirene,,185164507617294308231299577986753363512,,Pas d'arbre de décision,,,,
API Métadonnées,,129823273813551412334849460150023691628,,Pas d'arbre de décision,,,,
API calendrier scolaire,,323223124683034560078040339715835760475,,Pas d'arbre de décision,,,,
API Chorus Pro,,9538178963365973433498407620632074788,particulier,Non,Vous n’êtes pas autorisé à accéder aux données de cette API. Chorus Pro s’adresse aux des acteurs de la commande publique : émetteurs et récepteurs de facture.,,,
API Chorus Pro,,9538178963365973433498407620632074788,entreprise ou association,Peut-être,"La plateforme s’adresse à l’ensemble des fournisseurs de l'Etat, tant privés que publics, afin de leur permettre de transmettre de façon efficace et automatique leurs factures à destination de la sphère publique.",,,
API Chorus Pro,,9538178963365973433498407620632074788,collectivité ou administration,Oui,"<p>La plateforme s’adresse aux entités du secteur public : l’Etat, les établissements publics nationaux (EPN), les collectivités territoriales et les établissements publics locaux (EPL).</p>

<p>Elle permet de traiter l’ensemble des factures de manière optimisée en réduisant les délais de validation et d’enregistrement.</p>",,,
API RappelConso,,205113903884586235586203742738438785647,,Pas d'arbre de décision,,,,
API Prix des contrôles techniques,,185038989231627872515459619655161582446,,Pas d'arbre de décision,,,,
API Indemnités Journalières de la CNAM,api-indemnites-journalieres-cnam,188648496020380233182193920665332532493,particulier,Non,"Vous n’êtes pas autorisé à accéder aux données de cette API. Seules les assurances et complémentaires santé qui sont partenaires de France Connect sont éligibles.Cela étant dit, si vous avez un projet précis, <a href=""mailto:partenaires-api-ameli.cnam@assurance-maladie.fr"">contactez-nous</a> pour exposer votre projet.",,,
API Indemnités Journalières de la CNAM,api-indemnites-journalieres-cnam,188648496020380233182193920665332532493,entreprise ou association,Peut-être,"<p><b>❌ Si vous êtes une entreprise ou une association, vous n'êtes pas éligible.</b> Cette API est accessible uniquement aux complémentaires santé et assurances partenaires de France Connect.</p>

<p><b>✅ Si vous êtes une assurance ou un organisme de prévoyance</b>, vous êtes éligible si vous êtes partenaires de FranceConnect.</p>",,,
API Indemnités Journalières de la CNAM,api-indemnites-journalieres-cnam,188648496020380233182193920665332532493,collectivité ou administration,Peut-être,Seules les administrations partenaires de FranceConnect sont éligibles.,,,
API Géorisques,,139224595004086956892684654830656985003,,Pas d'arbre de décision,,,,
API données foncières,,39479868076919890327920933424410415721,particulier,Non,Vous n’êtes pas autorisé à accéder aux données de cette API. Vous ne pouvez pas accéder aux données restreintes (sur les propriétaires et les locaux).,,,
API données foncières,,39479868076919890327920933424410415721,entreprise ou association,Peut-être,"Si votre structure est agence d’urbanisme, EPF, uSAFER, ADIL, OLAP, SCoT, organisme de recherche, infrastructure de données géographiques, ou autre structure déjà bénéficiaire des données MAJIC, vous êtes probablement éligible.

Pour demander un accès, déposez votre demande : ",,,
API données foncières,,39479868076919890327920933424410415721,collectivité ou administration,Oui,"En tant qu'administration ou, vous êtes peut-être éligible si vous êtes une collectivité territoriale, un service de l’État, un établissement public de l’État, une agence d’urbanisme, un EPF, SAFER, ADIL, OLAP, SCoT, un organisme de recherche, une infrastructure de données géographiques, une autre structure déjà bénéficiaire des données MAJIC.",,,
API contrôle CVEC (contribution de vie étudiante),,232097108677981557129952404279202294906,,Pas d'arbre de décision,,,,
API Ingres - Nomenclatures,api-ingres,234239155537221281398071191768055308377,particulier,Non,Vous n’êtes pas autorisé à accéder aux données de cette API. L'API est réservée aux administrations.,,,
API Ingres - Nomenclatures,api-ingres,234239155537221281398071191768055308377,entreprise ou association,Non,Vous n’êtes pas autorisé à accéder aux données de cette API. L'API est réservée aux administrations.,,,
API Ingres - Nomenclatures,api-ingres,234239155537221281398071191768055308377,collectivité ou administration,Peut-être,"<p>Le CISIRH met à disposition cette API exploitable et accessible uniquement via le Réseau Interministériel de l'Etat (RIE).</p>

<p>Son utilisation par une application tierce ne saurait engager la responsabilité du CISIRH, par exemple, en termes de disponibilité.</p>",,,
Hub'Eau - Température des cours d'eau,,272239185692345116214502896627907822091,,Pas d'arbre de décision,,,,
API Carto - module RPG,,285249858695339439511889069869731461401,,Pas d'arbre de décision,,,,
API Carto - module Géoportail de l'Urbanisme (GPU),,164480264927210822043096532331502719594,,Pas d'arbre de décision,,,,
API Carto - module AOC,,127377370346639759297634420334729785199,,Pas d'arbre de décision,,,,
API Carto - module Cadastre,,243150653721180909070493552130358800301,,Pas d'arbre de décision,,,,
API Carto - module Codes Postaux,,277806464599684091137028269348568958014,,Pas d'arbre de décision,,,,
API Carto - module Nature,,60788204177123688781930500489665801875,,Pas d'arbre de décision,,,,
API Carto - module WFS Géoportail,,237883086604491484581494628217937051110,,Pas d'arbre de décision,,,,
API Tracabilité des déchets dangereux - Trackdéchets,,75339961731867541157564979640335128672,particulier,Non,Vous n’êtes pas autorisé à accéder aux données de cette API. L'API s'adresse aux opérateurs du traitement des déchets.,,,
API Tracabilité des déchets dangereux - Trackdéchets,,75339961731867541157564979640335128672,entreprise ou association,Peut-être,"**❌ En tant qu'entreprise ou association, vous n'êtes par éligible à utiliser l'API.**

**✅ Sauf pour les organisations suivantes** : 
- les producteur de déchets,
- les professionnel de la gestion de déchets (collecteurs, installations de tri-transit-regroupement, installation de traitement)
- les transporteurs de déchets.
- les éco-organismes
- les courtiers et négociants

Pour demander un accès, vous devez créer un compte sur le site Trackdéchets :",,,
API Tracabilité des déchets dangereux - Trackdéchets,,75339961731867541157564979640335128672,collectivité ou administration,Oui,L'API est accessible aux administrations dans le cadre de leur mission de gestion des déchets. Vous devez créer un compte sur le site Trackdéchets pour y accéder.,,,
API Radio France,,69691135057809165657310552715408742893,,Pas d'arbre de décision,,,,
API Mobilic,api-mobilic,117059278279219353505518591298105557257,particulier,Non,Vous n’êtes pas autorisé à accéder aux données de cette API. L'API s'adresse aux opérateurs des transports.,,,
API Mobilic,api-mobilic,117059278279219353505518591298105557257,entreprise ou association,Peut-être,"Certaines entreprises peuvent utiliser l'API :
- les éditeurs de solutions du secteur des transports
- les entreprises de livraison et de transports routiers

Si vous êtes dans ce cas, vous devrez créer un compte pour accéder à l'API.",,,
API Mobilic,api-mobilic,117059278279219353505518591298105557257,collectivité ou administration,Non,L'API s'adresse aux opérateurs des transports uniquement.,,,
API GRDF ADICT,,26423210775062258320525472722996786371,particulier,Non,Vous n’êtes pas autorisé à accéder aux données de cette API. L'API s'adresse aux entreprises spécialisées et administrations ayant obtenu le consentement du titulaire.,,,
API GRDF ADICT,,26423210775062258320525472722996786371,entreprise ou association,Peut-être,"Si vous êtes une entreprise dédiée à la maitrise de l'énergie ou un bureau d""étude, vous êtes peut-être éligible. Vous devrez alors créer un compte pour accéder à l'API. L'accès au flux est conditionné par la signature d’un consentement du titulaire.",,,
API GRDF ADICT,,26423210775062258320525472722996786371,collectivité ou administration,Peut-être,"L'API est accessible aux collectivités, vous devrez créer un compte pour accéder à l'API. L'accès au flux est conditionné par la signature d’un consentement du titulaire.",,,
API Data.Subvention,,207128933077358822480313468160437442324,particulier,Non,Vous n’êtes pas autorisé à accéder aux données de cette API.,,,
API Data.Subvention,,207128933077358822480313468160437442324,entreprise ou association,Non,Vous n’êtes pas autorisé à accéder aux données de cette API.,,,
API Data.Subvention,,207128933077358822480313468160437442324,collectivité ou administration,Oui,Vous devez faire une demande par mail à l'équipe Data Subventions,,,
API La Bonne Boite,,286323874566696946588230365301802897969,,Pas d'arbre de décision,,,,
,,,,Pas d'arbre de décision,,,,
API Résultats aux examens,,153451227117255055635527977777851089855,,Pas d'arbre de décision,,,,
API SI Amiante,,19055894564126652764674018098455013582,particulier,Non,Vous n’êtes pas autorisé à accéder aux données de cette API. Seules les administrations et certains éditeurs de logiciels peuvent utiliser cette API.,,,
API SI Amiante,,19055894564126652764674018098455013582,collectivité ou administration,Peut-être,"Si vous êtes une préfecture ou une administration, vous pouvez utiliser cette API pour récupérer les rapports d'actvités et rapports d'alerte émis par les diagnostiqueurs et les laboratoires accrédités.",,,
API SI Amiante,,19055894564126652764674018098455013582,entreprise ou association,Peut-être,Seuls les éditeurs de logiciels destinés aux diagnostiqueurs d'amiante et laboratoire accrédités peuvent utiliser l'API SI-Amiante.,,,
API Pseudonymisation de documents (démo),,199353080125513823469786962383638997281,,Pas d'arbre de décision,,,,
API Maladies Rares (ORPHAcode),,339884209153535840842121640619735187270,,Pas d'arbre de décision,,,,
API Engagement,,255207777779808786977381600121258318572,particulier,Non,"Vous n’êtes pas autorisé à accéder aux données de cette API. Seules les administrations et certaines sociétés sont habilitées à publier leurs annonces sur l'API Engagement. En revanche, il vous est possible de consulter les annonces sur [JeVeuxAider.gouv.fr](https://www.jeveuxaider.gouv.fr/) ou le [portail Service Civique](https://www.service-civique.gouv.fr/jeunes-volontaires/?gclsrc=aw.ds)",,,
API Engagement,,255207777779808786977381600121258318572,entreprise ou association,Oui,Les entreprises peuvent publier des annonces et les diffuser via l'API Engagement.,,,
API Engagement,,255207777779808786977381600121258318572,collectivité ou administration,Oui,"Si vous êtes une collectivité ou une administration, vous pouvez remplir une demande d’habilitation à l’API Engagement vous-même pour l'entité que vous représentez.

C'est cette demande d'habilitation qui vous permet à la fois de poster des annonces, ou de diffuser un flux d'annonces.",,,
API Document unique de marché européen (Dume),,208075400418232347612858710204551065953,particulier,Non,"**En tant que particulier, vous n'êtes pas éligible**. L'API s’adresse à l’ensemble des fournisseurs de l'État, tant privés que publics, afin de leur permettre de transmettre de façon efficace et automatique leurs factures à destination de la sphère publique.",,,
API Document unique de marché européen (Dume),,208075400418232347612858710204551065953,entreprise ou association,Oui,"L'API s’adresse à l’ensemble des fournisseurs de l'Etat, tant privés que publics, afin de leur permettre de transmettre de façon efficace et automatique leurs factures à destination de la sphère publique.",,,
API Document unique de marché européen (Dume),,208075400418232347612858710204551065953,collectivité ou administration,Oui,"L'API s’adresse à l’ensemble des fournisseurs de l'Etat, tant privés que publics, afin de leur permettre de transmettre de façon efficace et automatique leurs factures à destination de la sphère publique.",,,
API Accès libre,,79532929577800844321300761335415606309,,Pas d'arbre de décision,,,,
API Transparence-Santé (Déclarations Entreprises),,106190048962820938736984480930225626708,particulier,Non,Vous n’êtes pas autorisé à accéder à cette API. L'API est réservée aux entreprises.,,,
API Transparence-Santé (Déclarations Entreprises),,106190048962820938736984480930225626708,entreprise ou association,Peut-être,"**❌ Si vous êtes un professionnel de santé, vous n'êtes pas éligible.**

**✅ Si vous êtes une entreprise, vous êtes éligible.**",,,
